servicio,endpoint,publicaciones,repeticiones,latencia_mediana_s,latencia_min_s,latencia_max_s,tiempo_interno_mediana_s,memoria_maxima_mb,publicaciones_por_segundo_mediana
clasificacion,/api/clasificar,20,10,0.25070800000000004,0.2030664,0.7250398,,159.676,79.7740805
clasificacion,/api/clasificar,50,10,0.5559526,0.3541706,0.688702,,159.785,92.3582825
clasificacion,/api/clasificar,100,10,0.6218026,0.5658075,1.1511856,,160.168,160.82726350000002
clasificacion,/api/clasificar,250,10,1.17824825,0.9824601,1.6456678,,161.984,212.7048125
clasificacion,/api/clasificar,500,10,1.7718517500000002,1.691641,2.2431526,,166.543,282.191825
clasificacion,/api/clasificar,832,10,6.55327305,5.9003866,11.2246826,,174.055,126.959533
optimizacion_optuna,/optimization/optuna,832,1,777.3347994,777.3347994,777.3347994,,174.52,
entrenamiento_autosklearn,/api/explainability/autosklearn/train,832,1,646.7747102,646.7747102,646.7747102,608.89,,
explicabilidad_shap,/api/explainability/autosklearn/explain,1,3,25.8793184,25.0444305,26.2244283,5.777,,0.038641
explicabilidad_shap,/api/explainability/autosklearn/explain,10,3,94.0608122,56.3935563,102.0997984,67.003,,0.106314
explicabilidad_shap,/api/explainability/autosklearn/explain,50,3,221.1940404,202.1736109,280.6117778,202.21,,0.226046
explicabilidad_shap,/api/explainability/autosklearn/explain,100,3,390.388701,385.6032907,406.3534221,371.84,,0.256155
explicabilidad_shap,/api/explainability/autosklearn/explain,832,1,3008.9760264,3008.9760264,3008.9760264,2989.676,,0.276506
