id_ejecucion,servicio,endpoint,publicaciones,repeticion,http_status,latencia_total_s,tiempo_interno_s,publicaciones_por_segundo,memoria_base_mb,memoria_pico_mb,incremento_memoria_mb,id_shap,id_entrenamiento,version_artefacto,coincidencias,discrepancias,porcentaje_concordancia,aditividad_cumplida,error_aditividad_maximo
services-performance-20260807T012830226406Z-d0b73d1298,explicabilidad_shap,/api/explainability/autosklearn/explain,1,1,200,25.0444305,5.55,0.039929,,,,shap-20260807T015523026616Z-031aea9e7276,train-20260807T014359148251Z-afb806280f46,4,1,0,100.0,True,2.8189256484623115e-17
services-performance-20260807T012830226406Z-d0b73d1298,explicabilidad_shap,/api/explainability/autosklearn/explain,1,2,200,25.8793184,5.777,0.038641,,,,shap-20260807T015551648998Z-4295b5ef44a0,train-20260807T014359148251Z-afb806280f46,4,1,0,100.0,True,2.8189256484623115e-17
services-performance-20260807T012830226406Z-d0b73d1298,explicabilidad_shap,/api/explainability/autosklearn/explain,1,3,200,26.2244283,6.084,0.038132,,,,shap-20260807T015624637802Z-24638c521ad5,train-20260807T014359148251Z-afb806280f46,4,1,0,100.0,True,2.8189256484623115e-17
services-performance-20260807T012830226406Z-d0b73d1298,explicabilidad_shap,/api/explainability/autosklearn/explain,10,1,200,56.3935563,38.482,0.177325,,,,shap-20260807T015653247258Z-a90fe1aa0ca2,train-20260807T014359148251Z-afb806280f46,4,10,0,100.0,True,1.1102230246251565e-16
services-performance-20260807T012830226406Z-d0b73d1298,explicabilidad_shap,/api/explainability/autosklearn/explain,10,2,200,94.0608122,67.003,0.106314,,,,shap-20260807T015803446611Z-a88e3b0ef4a9,train-20260807T014359148251Z-afb806280f46,4,10,0,100.0,True,1.1102230246251565e-16
services-performance-20260807T012830226406Z-d0b73d1298,explicabilidad_shap,/api/explainability/autosklearn/explain,10,3,200,102.0997984,72.42,0.097943,,,,shap-20260807T015943024613Z-0cfb3929cd44,train-20260807T014359148251Z-afb806280f46,4,10,0,100.0,True,1.1102230246251565e-16
services-performance-20260807T012830226406Z-d0b73d1298,explicabilidad_shap,/api/explainability/autosklearn/explain,50,1,200,280.6117778,243.503,0.178182,,,,shap-20260807T020134197646Z-b3faba82f402,train-20260807T014359148251Z-afb806280f46,4,50,0,100.0,True,1.1102230246251565e-16
services-performance-20260807T012830226406Z-d0b73d1298,explicabilidad_shap,/api/explainability/autosklearn/explain,50,2,200,221.1940404,202.21,0.226046,,,,shap-20260807T020607588575Z-06ca45b21b23,train-20260807T014359148251Z-afb806280f46,4,50,0,100.0,True,1.1102230246251565e-16
services-performance-20260807T012830226406Z-d0b73d1298,explicabilidad_shap,/api/explainability/autosklearn/explain,50,3,200,202.1736109,181.107,0.247312,,,,shap-20260807T020955982887Z-fa9cf8eb952a,train-20260807T014359148251Z-afb806280f46,4,50,0,100.0,True,1.1102230246251565e-16
services-performance-20260807T012830226406Z-d0b73d1298,explicabilidad_shap,/api/explainability/autosklearn/explain,100,1,200,406.3534221,385.424,0.246091,,,,shap-20260807T021322481761Z-783d67154e6f,train-20260807T014359148251Z-afb806280f46,4,100,0,100.0,True,1.1102230246251565e-16
services-performance-20260807T012830226406Z-d0b73d1298,explicabilidad_shap,/api/explainability/autosklearn/explain,100,2,200,390.388701,371.84,0.256155,,,,shap-20260807T022011777426Z-8f174ac957a4,train-20260807T014359148251Z-afb806280f46,4,100,0,100.0,True,1.1102230246251565e-16
services-performance-20260807T012830226406Z-d0b73d1298,explicabilidad_shap,/api/explainability/autosklearn/explain,100,3,200,385.6032907,368.029,0.259334,,,,shap-20260807T022646363193Z-34bc7f12066a,train-20260807T014359148251Z-afb806280f46,4,100,0,100.0,True,1.1102230246251565e-16
services-performance-20260807T012830226406Z-d0b73d1298,explicabilidad_shap,/api/explainability/autosklearn/explain,832,1,200,3008.9760264,2989.676,0.276506,,,,shap-20260807T023316766367Z-41a8ce376bf0,train-20260807T014359148251Z-afb806280f46,4,823,9,98.91826923076923,True,1.1102230246251565e-16
