publication_id,categoria_referencia,veces_incluida,veces_comparable,veces_A,veces_B,veces_C,veces_ambigua,categoria_modal_bootstrap,probabilidad_categoria_modal,estabilidad_categoria_referencia
MLC1878041405,C,57,57,0,0,57,0,C,1.0,1.0
MLC1878053449,C,62,62,0,0,62,0,C,1.0,1.0
MLC1878053659,C,76,76,0,0,76,0,C,1.0,1.0
MLC1878076597,A,65,65,65,0,0,0,A,1.0,1.0
MLC1878076599,A,59,59,59,0,0,0,A,1.0,1.0
MLC1878076601,B,63,63,10,53,0,0,B,0.8412698412698413,0.8412698412698413
MLC1878110373,A,58,58,58,0,0,0,A,1.0,1.0
MLC1878110375,A,61,61,61,0,0,0,A,1.0,1.0
MLC1878110377,C,60,60,0,0,60,0,C,1.0,1.0
MLC1878110379,A,66,66,66,0,0,0,A,1.0,1.0
MLC1878110381,C,67,67,0,0,67,0,C,1.0,1.0
MLC1878110383,A,59,59,59,0,0,0,A,1.0,1.0
MLC1878110385,A,67,67,67,0,0,0,A,1.0,1.0
MLC1880283597,C,67,67,0,0,67,0,C,1.0,1.0
MLC1880286743,A,67,67,67,0,0,0,A,1.0,1.0
MLC1882021595,A,55,55,55,0,0,0,A,1.0,1.0
MLC1882021597,A,73,73,73,0,0,0,A,1.0,1.0
MLC1882021599,C,60,60,12,0,48,0,C,0.8,0.8
MLC1882021611,A,69,69,69,0,0,0,A,1.0,1.0
MLC1882033427,C,61,61,0,0,61,0,C,1.0,1.0
MLC1882033435,A,65,65,65,0,0,0,A,1.0,1.0
MLC1882033437,A,63,63,63,0,0,0,A,1.0,1.0
MLC1882033445,A,62,62,62,0,0,0,A,1.0,1.0
MLC1882039995,C,71,71,0,0,71,0,C,1.0,1.0
MLC1882039997,A,64,64,64,0,0,0,A,1.0,1.0
MLC1882039999,C,66,66,0,0,66,0,C,1.0,1.0
MLC1882040001,A,67,67,67,0,0,0,A,1.0,1.0
MLC1882040003,A,54,54,54,0,0,0,A,1.0,1.0
MLC1882040007,A,62,62,62,0,0,0,A,1.0,1.0
MLC1887635501,B,53,51,0,47,4,2,B,0.9215686274509803,0.9215686274509803
MLC1887635513,B,58,58,0,58,0,0,B,1.0,1.0
MLC1887635515,C,67,67,0,0,67,0,C,1.0,1.0
MLC1887635523,C,60,60,0,0,60,0,C,1.0,1.0
MLC1887635537,B,55,55,0,54,1,0,B,0.9818181818181818,0.9818181818181818
MLC1887635545,B,68,68,0,68,0,0,B,1.0,1.0
MLC1887635547,C,55,55,0,0,55,0,C,1.0,1.0
MLC1887635621,A,58,58,58,0,0,0,A,1.0,1.0
MLC1887635635,B,59,59,0,59,0,0,B,1.0,1.0
MLC1887635641,B,71,71,0,71,0,0,B,1.0,1.0
MLC1887635665,C,69,69,0,0,69,0,C,1.0,1.0
MLC1887635713,A,66,66,66,0,0,0,A,1.0,1.0
MLC1887635715,C,69,69,0,0,69,0,C,1.0,1.0
MLC1887635717,C,66,66,0,0,66,0,C,1.0,1.0
MLC1887635749,B,59,57,0,55,2,2,B,0.9649122807017544,0.9649122807017544
MLC1887635797,A,55,55,55,0,0,0,A,1.0,1.0
MLC1887672061,B,59,59,0,59,0,0,B,1.0,1.0
