publication_id,ventas_30d,visitas_30d,precio_actual,valor_transado,score_inicial,categoria_score,categoria_ss_ekmeans,coincide
MLC1878053449,0,2,19999.000000,0.000000,0.378359,B,C,False
MLC1878053659,0,2,19999.000000,0.000000,0.378359,B,C,False
MLC1878076597,0,7,19999.000000,0.000000,0.548674,B,A,False
MLC1878076601,0,8,39999.000000,0.000000,0.819099,A,B,False
MLC1878110375,1,3,4999.000000,4999.000000,0.529899,B,A,False
MLC1882021595,0,7,19999.000000,0.000000,0.548674,B,A,False
MLC1882039997,1,3,4999.000000,4999.000000,0.529899,B,A,False
MLC1882040003,0,7,9999.000000,0.000000,0.423688,B,A,False
MLC1887635501,0,0,29999.000000,0.000000,0.312577,C,B,False
MLC1887635537,0,0,29999.000000,0.000000,0.312577,C,B,False
MLC1887635713,0,20,9999.000000,0.000000,0.591269,B,A,False
MLC1887635749,0,0,29999.000000,0.000000,0.312577,C,B,False
MLC1887672099,0,3,19999.000000,0.000000,0.428313,B,A,False
MLC1887672107,0,3,24999.000000,0.000000,0.490806,B,A,False
MLC1887672231,0,5,59999.000000,0.000000,0.998664,A,B,False
MLC1887672271,0,4,19999.000000,0.000000,0.467061,B,A,False
MLC1887672361,0,3,19999.000000,0.000000,0.428313,B,A,False
MLC1887672401,0,5,9999.000000,0.000000,0.373734,B,A,False
MLC1887685131,0,2,19999.000000,0.000000,0.378359,B,C,False
MLC1887685147,0,0,29999.000000,0.000000,0.312577,C,B,False
MLC1887685193,0,2,24999.000000,0.000000,0.440852,B,C,False
MLC1887685201,0,5,19999.000000,0.000000,0.498720,B,A,False
MLC1887685299,0,0,59999.000000,0.000000,0.687535,A,B,False
MLC1887685373,0,2,19999.000000,0.000000,0.378359,B,C,False
MLC1887698049,0,5,39999.000000,0.000000,0.748692,A,B,False
MLC1887698065,0,0,29999.000000,0.000000,0.312577,C,B,False
MLC1887698129,0,2,19999.000000,0.000000,0.378359,B,C,False
MLC1887698135,0,3,19999.000000,0.000000,0.428313,B,C,False
MLC1887698147,0,3,19999.000000,0.000000,0.428313,B,C,False
MLC1887698237,0,5,39999.000000,0.000000,0.748692,A,B,False
MLC1887698327,0,5,19999.000000,0.000000,0.498720,B,A,False
MLC1887710743,0,5,19999.000000,0.000000,0.498720,B,A,False
MLC1887710777,0,1,24999.000000,0.000000,0.370445,B,C,False
MLC1887710933,0,2,19999.000000,0.000000,0.378359,B,C,False
MLC1887710949,0,3,39999.000000,0.000000,0.678285,A,B,False
MLC1887711079,0,4,19999.000000,0.000000,0.467061,B,A,False
MLC1887757149,0,4,19999.000000,0.000000,0.467061,B,A,False
MLC1887757203,0,2,19999.000000,0.000000,0.378359,B,C,False
MLC1887757351,0,5,19999.000000,0.000000,0.498720,B,A,False
MLC1887757445,1,3,9999.000000,9999.000000,0.592392,B,A,False
MLC1887757475,0,3,19999.000000,0.000000,0.428313,B,A,False
MLC1898810311,0,4,24999.000000,0.000000,0.529554,B,A,False
MLC1898810315,0,2,19999.000000,0.000000,0.378359,B,C,False
MLC1898810329,0,1,24999.000000,0.000000,0.370445,B,C,False
MLC1898810331,0,7,44999.000000,0.000000,0.861139,A,B,False
MLC1898810337,0,9,49999.000000,0.000000,0.962380,A,B,False
MLC1898810345,0,0,29999.000000,0.000000,0.312577,C,B,False
MLC1898810349,0,2,24999.000000,0.000000,0.440852,B,C,False
MLC1898810353,0,1,24999.000000,0.000000,0.370445,B,C,False
MLC1898810367,0,5,19999.000000,0.000000,0.498720,B,A,False
MLC1898810373,0,3,34999.000000,0.000000,0.615792,A,B,False
MLC1898810381,0,1,24999.000000,0.000000,0.370445,B,C,False
MLC1898810383,0,3,39999.000000,0.000000,0.678285,A,B,False
MLC1898810385,0,8,39999.000000,0.000000,0.819099,A,B,False
MLC1898810395,0,0,29999.000000,0.000000,0.312577,C,B,False
MLC1898810399,0,4,24999.000000,0.000000,0.529554,B,A,False
MLC1908462665,0,99,69999.000000,0.000000,1.612182,A,B,False
MLC1908468349,0,66,74999.000000,0.000000,1.605135,A,B,False
MLC1908478659,0,80,84999.000000,0.000000,1.763071,A,B,False
MLC1919340747,0,7,9999.000000,0.000000,0.423688,B,A,False
MLC1919340749,0,0,32999.000000,0.000000,0.350073,C,B,False
MLC1919340761,0,0,59999.000000,0.000000,0.687535,A,B,False
MLC1919340765,0,0,29999.000000,0.000000,0.312577,C,B,False
MLC1919340769,0,0,29999.000000,0.000000,0.312577,C,B,False
MLC1919340827,0,3,52999.000000,0.000000,0.840767,A,B,False
MLC1919366301,0,1,24999.000000,0.000000,0.370445,B,C,False
MLC1919366321,0,4,9999.000000,0.000000,0.342075,C,A,False
MLC1919366323,0,0,29999.000000,0.000000,0.312577,C,B,False
MLC1919366369,0,5,24999.000000,0.000000,0.561213,B,A,False
MLC1919379159,0,1,24999.000000,0.000000,0.370445,B,C,False
MLC1919379245,0,1,59999.000000,0.000000,0.807896,A,B,False
MLC1919392237,0,0,32999.000000,0.000000,0.350073,C,B,False
MLC1919392243,0,0,29999.000000,0.000000,0.312577,C,B,False
MLC1919392245,0,2,39999.000000,0.000000,0.628331,A,B,False
MLC1919392249,0,1,24999.000000,0.000000,0.370445,B,C,False
MLC1919392263,0,1,79999.000000,0.000000,1.057868,A,B,False
MLC1919392331,0,2,59999.000000,0.000000,0.878303,A,B,False
MLC1919405253,0,0,32999.000000,0.000000,0.350073,C,B,False
MLC1919405265,0,0,29999.000000,0.000000,0.312577,C,B,False
MLC1919405299,0,0,29999.000000,0.000000,0.312577,C,B,False
MLC1919405341,0,4,59999.000000,0.000000,0.967005,A,B,False
MLC1919405351,0,3,39999.000000,0.000000,0.678285,A,B,False
MLC1919418251,0,2,49999.000000,0.000000,0.753317,A,B,False
MLC1919418257,0,2,39999.000000,0.000000,0.628331,A,B,False
MLC1919418259,0,3,39999.000000,0.000000,0.678285,A,B,False
MLC1919418273,0,1,49999.000000,0.000000,0.682910,A,B,False
MLC1919418283,0,1,24999.000000,0.000000,0.370445,B,C,False
MLC1919418315,0,0,32999.000000,0.000000,0.350073,C,B,False
MLC1946976871,0,9,19999.000000,0.000000,0.587422,B,A,False
MLC1946989123,0,7,4999.000000,0.000000,0.361195,C,A,False
MLC1946989125,0,11,4999.000000,0.000000,0.431602,B,A,False
MLC1949396233,0,13,9999.000000,0.000000,0.520863,B,A,False
MLC1952311563,0,10,9999.000000,0.000000,0.478986,B,A,False
MLC1955702765,1,3,4999.000000,4999.000000,0.529899,B,A,False
MLC1955715775,0,11,4999.000000,0.000000,0.431602,B,A,False
MLC1955715777,1,1,4999.000000,4999.000000,0.409538,B,A,False
MLC1967126371,0,4,4999.000000,0.000000,0.279582,C,A,False
MLC1980335629,0,7,9999.000000,0.000000,0.423688,B,A,False
MLC1982207629,0,10,9999.000000,0.000000,0.478986,B,A,False
MLC3738017686,0,8,4999.000000,0.000000,0.381648,B,A,False
MLC3738018134,0,7,19999.000000,0.000000,0.548674,B,A,False
MLC3738030120,0,10,9999.000000,0.000000,0.478986,B,A,False
MLC3738043122,0,4,9999.000000,0.000000,0.342075,C,A,False
MLC3738073704,0,3,19999.000000,0.000000,0.428313,B,A,False
MLC3738073708,0,15,8999.000000,0.000000,0.531551,B,A,False
MLC3738085766,0,8,19999.000000,0.000000,0.569127,B,A,False
MLC3746188518,0,14,9999.000000,0.000000,0.532843,B,A,False
MLC3746224798,0,4,4999.000000,0.000000,0.279582,C,A,False
MLC3765157692,0,3,19999.000000,0.000000,0.428313,B,C,False
MLC3765157940,0,5,24999.000000,0.000000,0.561213,B,A,False
MLC3765170192,0,6,24999.000000,0.000000,0.587980,B,A,False
MLC3765170208,0,4,24999.000000,0.000000,0.529554,B,A,False
MLC3765170232,0,6,34999.000000,0.000000,0.712966,A,B,False
MLC3765170314,0,12,49999.000000,0.000000,1.007938,A,B,False
MLC3765170398,0,3,39999.000000,0.000000,0.678285,A,B,False
MLC3765170468,0,2,24999.000000,0.000000,0.440852,B,C,False
