tamano_solicitado,repeticion,http_status,productos_recibidos,productos_explicados,truncado,background_rows,nsamples,latencia_total_segundos,tiempo_shap_segundos,sobrecarga_api_segundos,segundos_por_producto,productos_por_segundo,productos_por_minuto,aditividad_cumplida,error_aditividad_maximo
1,1,200,1,1,False,50,6,43.73851019999711,4.992,38.74651019999711,43.73851019999711,0.02286314726833257,1.3717888360999542,True,2.0816681711721685e-17
1,2,200,1,1,False,50,6,46.5084846000027,3.841,42.6674846000027,46.5084846000027,0.021501453091850295,1.2900871855110176,True,2.0816681711721685e-17
1,3,200,1,1,False,50,6,68.68465199999628,4.391,64.29365199999627,68.68465199999628,0.014559293392067477,0.8735576035240487,True,2.0816681711721685e-17
10,1,200,10,10,False,50,6,116.57739220000076,69.905,46.67239220000076,11.657739220000076,0.08577992534645096,5.146795520787057,True,1.1102230246251565e-16
10,2,200,10,10,False,50,6,84.46030410000094,40.754,43.70630410000094,8.446030410000095,0.11839881594743025,7.103928956845815,True,1.1102230246251565e-16
10,3,200,10,10,False,50,6,87.5438049000004,41.912,45.6318049000004,8.75438049000004,0.11422852835129577,6.853711701077746,True,1.1102230246251565e-16
50,1,200,50,50,False,50,6,387.1343513999964,344.053,43.08135139999638,7.742687027999928,0.1291541291006202,7.749247746037213,True,1.3114509478384662e-15
50,2,200,50,50,False,50,6,350.5583614999996,280.185,70.37336149999959,7.011167229999992,0.14262960320231888,8.557776192139134,True,1.3114509478384662e-15
50,3,200,50,50,False,50,6,185.61772760000167,141.686,43.931727600001665,3.7123545520000336,0.2693708227467792,16.16224936480675,True,1.3114509478384662e-15
100,1,200,100,100,False,50,6,330.8668202999979,286.654,44.21282029999793,3.3086682029999794,0.3022364101342338,18.134184608054028,True,1.3114509478384662e-15
100,2,200,100,100,False,50,6,429.4335846999966,384.994,44.439584699996544,4.2943358469999655,0.23286487960614508,13.971892776368705,True,1.3114509478384662e-15
100,3,200,100,100,False,50,6,340.5427428000039,313.275,27.26774280000393,3.405427428000039,0.2936488946373719,17.618933678242314,True,1.3114509478384662e-15
