publication_id,seed_42_repeticion_1,seed_42_repeticion_2,seed_42_repeticion_3,seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9
MLC1878041405,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC1878053449,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC1878053659,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC1878076597,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC1878076599,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC1878076601,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC1878110373,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC1878110375,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC1878110377,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC1878110379,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC1878110381,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC1878110383,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC1878110385,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC1880283597,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC1880286743,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC1882021595,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC1882021597,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC1882021599,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC1882021611,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC1882033427,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC1882033435,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC1882033437,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC1882033445,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC1882039995,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC1882039997,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC1882039999,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC1882040001,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC1882040003,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC1882040007,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC1887635501,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC1887635513,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC1887635515,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC1887635523,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC1887635537,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC1887635545,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC1887635547,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC1887635621,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC1887635635,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC1887635641,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC1887635665,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC1887635713,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC1887635715,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC1887635717,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC1887635749,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC1887635797,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC1887672061,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC1887672065,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC1887672069,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC1887672071,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC1887672081,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC1887672083,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC1887672095,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC1887672099,A,A,A,A,A,A,A,A,A,A,C,A,A
MLC1887672105,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC1887672107,A,A,A,A,A,A,A,B,A,A,B,A,B
MLC1887672117,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC1887672185,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC1887672199,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC1887672231,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC1887672241,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC1887672271,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC1887672289,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC1887672301,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC1887672303,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC1887672331,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC1887672347,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC1887672361,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC1887672401,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC1887685131,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC1887685133,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC1887685147,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC1887685149,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC1887685155,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC1887685193,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC1887685199,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC1887685201,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC1887685211,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC1887685235,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC1887685255,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC1887685299,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC1887685309,C,C,C,C,C,C,C,C,C,C,C,C,C
